Namespace(batch_size=4, bits=8, checkpoint_iters=1000, clip=0.5, decoder_fuse_level=1, distance1=1, distance2=2, encoder_fuse_level=1, eval='../../data/eval', eval_batch_size=1, eval_iters=4500, eval_mv='../../data/eval_mv', fuse_encoder=True, gamma=0.5, gpus='0', iterations=10, load_iter=None, load_model_name=None, lr=0.00025, max_train_iters=10000, model_dir='model', num_crops=2, out_dir='output', patch=64, save_codes=True, save_model_name='gaze_model', save_out_img=True, schedule='50000,60000,70000,80000,90000', shrink=2, stack=True, train='../../data/new-data/train', train_mv='../../data/new-data/train_mv', v_compress=True, warp=True)

Creating loader for ../../data/new-data/train...
26594 images loaded.
	distance=1/2
Loader for 26594 images (6649 batches) created.
	Encoder fuse level: 1
	Decoder fuse level: 1
[TRAIN] Iter[1]; LR: 0.00025; Loss: 0.326861; Backprop: 0.1121 sec; Batch: 0.5389 sec
[TRAIN] Iter[2]; LR: 0.00025; Loss: 0.245549; Backprop: 0.0932 sec; Batch: 0.4928 sec
[TRAIN] Iter[3]; LR: 0.00025; Loss: 0.209717; Backprop: 0.0925 sec; Batch: 0.4921 sec
[TRAIN] Iter[4]; LR: 0.00025; Loss: 0.211527; Backprop: 0.0931 sec; Batch: 0.4931 sec
[TRAIN] Iter[5]; LR: 0.00025; Loss: 0.212642; Backprop: 0.0925 sec; Batch: 0.4917 sec
[TRAIN] Iter[6]; LR: 0.00025; Loss: 0.230556; Backprop: 0.0931 sec; Batch: 0.4923 sec
[TRAIN] Iter[7]; LR: 0.00025; Loss: 0.223817; Backprop: 0.0926 sec; Batch: 0.4931 sec
[TRAIN] Iter[8]; LR: 0.00025; Loss: 0.213769; Backprop: 0.0933 sec; Batch: 0.4941 sec
[TRAIN] Iter[9]; LR: 0.00025; Loss: 0.189032; Backprop: 0.0931 sec; Batch: 0.4938 sec
[TRAIN] Iter[10]; LR: 0.00025; Loss: 0.220761; Backprop: 0.0930 sec; Batch: 0.4935 sec
[TRAIN] Iter[11]; LR: 0.00025; Loss: 0.261993; Backprop: 0.0932 sec; Batch: 0.4946 sec
[TRAIN] Iter[12]; LR: 0.00025; Loss: 0.176496; Backprop: 0.0934 sec; Batch: 0.4935 sec
[TRAIN] Iter[13]; LR: 0.00025; Loss: 0.198408; Backprop: 0.0932 sec; Batch: 0.4946 sec
[TRAIN] Iter[14]; LR: 0.00025; Loss: 0.155472; Backprop: 0.0929 sec; Batch: 0.4939 sec
[TRAIN] Iter[15]; LR: 0.00025; Loss: 0.138805; Backprop: 0.0932 sec; Batch: 0.4934 sec
[TRAIN] Iter[16]; LR: 0.00025; Loss: 0.134968; Backprop: 0.0928 sec; Batch: 0.4937 sec
[TRAIN] Iter[17]; LR: 0.00025; Loss: 0.192516; Backprop: 0.0935 sec; Batch: 0.4946 sec
[TRAIN] Iter[18]; LR: 0.00025; Loss: 0.153986; Backprop: 0.0928 sec; Batch: 0.4931 sec
[TRAIN] Iter[19]; LR: 0.00025; Loss: 0.190197; Backprop: 0.0934 sec; Batch: 0.4941 sec
[TRAIN] Iter[20]; LR: 0.00025; Loss: 0.183236; Backprop: 0.0932 sec; Batch: 0.4959 sec
[TRAIN] Iter[21]; LR: 0.00025; Loss: 0.179299; Backprop: 0.0930 sec; Batch: 0.4940 sec
[TRAIN] Iter[22]; LR: 0.00025; Loss: 0.166889; Backprop: 0.0931 sec; Batch: 0.4932 sec
[TRAIN] Iter[23]; LR: 0.00025; Loss: 0.101099; Backprop: 0.0931 sec; Batch: 0.4939 sec
[TRAIN] Iter[24]; LR: 0.00025; Loss: 0.156380; Backprop: 0.0932 sec; Batch: 0.4942 sec
[TRAIN] Iter[25]; LR: 0.00025; Loss: 0.141082; Backprop: 0.0935 sec; Batch: 0.4940 sec
[TRAIN] Iter[26]; LR: 0.00025; Loss: 0.228025; Backprop: 0.0934 sec; Batch: 0.4940 sec
[TRAIN] Iter[27]; LR: 0.00025; Loss: 0.189901; Backprop: 0.0928 sec; Batch: 0.4942 sec
[TRAIN] Iter[28]; LR: 0.00025; Loss: 0.170047; Backprop: 0.0932 sec; Batch: 0.4935 sec
[TRAIN] Iter[29]; LR: 0.00025; Loss: 0.165444; Backprop: 0.0933 sec; Batch: 0.4935 sec
[TRAIN] Iter[30]; LR: 0.00025; Loss: 0.168811; Backprop: 0.0931 sec; Batch: 0.4934 sec
[TRAIN] Iter[31]; LR: 0.00025; Loss: 0.127606; Backprop: 0.0929 sec; Batch: 0.4935 sec
[TRAIN] Iter[32]; LR: 0.00025; Loss: 0.134909; Backprop: 0.0931 sec; Batch: 0.4934 sec
[TRAIN] Iter[33]; LR: 0.00025; Loss: 0.149703; Backprop: 0.0935 sec; Batch: 0.4952 sec
[TRAIN] Iter[34]; LR: 0.00025; Loss: 0.126673; Backprop: 0.0934 sec; Batch: 0.4956 sec
[TRAIN] Iter[35]; LR: 0.00025; Loss: 0.111163; Backprop: 0.0934 sec; Batch: 0.4951 sec
[TRAIN] Iter[36]; LR: 0.00025; Loss: 0.132594; Backprop: 0.0938 sec; Batch: 0.4953 sec
[TRAIN] Iter[37]; LR: 0.00025; Loss: 0.154021; Backprop: 0.0934 sec; Batch: 0.4951 sec
[TRAIN] Iter[38]; LR: 0.00025; Loss: 0.170542; Backprop: 0.0936 sec; Batch: 0.4953 sec
[TRAIN] Iter[39]; LR: 0.00025; Loss: 0.144263; Backprop: 0.0935 sec; Batch: 0.4957 sec
[TRAIN] Iter[40]; LR: 0.00025; Loss: 0.172383; Backprop: 0.0937 sec; Batch: 0.4961 sec
[TRAIN] Iter[41]; LR: 0.00025; Loss: 0.143548; Backprop: 0.0934 sec; Batch: 0.4953 sec
[TRAIN] Iter[42]; LR: 0.00025; Loss: 0.114527; Backprop: 0.0936 sec; Batch: 0.4958 sec
[TRAIN] Iter[43]; LR: 0.00025; Loss: 0.121448; Backprop: 0.0934 sec; Batch: 0.4950 sec
[TRAIN] Iter[44]; LR: 0.00025; Loss: 0.144321; Backprop: 0.0936 sec; Batch: 0.4951 sec
[TRAIN] Iter[45]; LR: 0.00025; Loss: 0.129125; Backprop: 0.0934 sec; Batch: 0.4948 sec
